retention_code,food_group_code,retention_description,nutrient_code,nutrient_description,retention_percent,add_mod_date
0005,01,"CHEESE,COOKED W/LIQUID",321,"Carotene, beta",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",322,"Carotene, alpha",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",334,"Cryptoxanthin, beta",100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",337,Lycopene,100,09/1975
0005,01,"CHEESE,COOKED W/LIQUID",338,Lutein + zeaxanthin,100,09/1975
0007,01,"CHEESE,REHEATED",301,"Calcium, Ca",100,09/1975
0007,01,"CHEESE,REHEATED",303,"Iron, Fe",100,09/1975
0007,01,"CHEESE,REHEATED",304,"Magnesium, Mg",100,09/1975
0007,01,"CHEESE,REHEATED",305,"Phosphorus, P",100,09/1975
0007,01,"CHEESE,REHEATED",306,"Potassium, K",100,09/1975
0007,01,"CHEESE,REHEATED",307,"Sodium, Na",100,09/1975
0007,01,"CHEESE,REHEATED",309,"Zinc, Zn",100,09/1975
0007,01,"CHEESE,REHEATED",312,"Copper, Cu",100,09/1975
0007,01,"CHEESE,REHEATED",401,"Vitamin C, total ascorbic acid",95,09/1975
0007,01,"CHEESE,REHEATED",404,Thiamin,95,09/1975
0007,01,"CHEESE,REHEATED",405,Riboflavin,100,09/1975
0007,01,"CHEESE,REHEATED",406,Niacin,100,09/1975
0007,01,"CHEESE,REHEATED",415,Vitamin B-6,95,09/1975
0007,01,"CHEESE,REHEATED",417,"Folate, total",95,09/1975
0007,01,"CHEESE,REHEATED",431,Folic acid,95,09/1975
0007,01,"CHEESE,REHEATED",432,"Folate, food",95,09/1975
0007,01,"CHEESE,REHEATED",421,"Choline, total",95,09/1975
0007,01,"CHEESE,REHEATED",418,Vitamin B-12,95,09/1975
0007,01,"CHEESE,REHEATED",318,"Vitamin A, IU",100,09/1975
0007,01,"CHEESE,REHEATED",392,"Vitamin A, RE",100,09/1975
0007,01,"CHEESE,REHEATED",221,"Alcohol, ethyl",100,09/1975
0007,01,"CHEESE,REHEATED",321,"Carotene, beta",100,09/1975
0007,01,"CHEESE,REHEATED",322,"Carotene, alpha",100,09/1975
0007,01,"CHEESE,REHEATED",334,"Cryptoxanthin, beta",100,09/1975
0007,01,"CHEESE,REHEATED",337,Lycopene,100,09/1975
0007,01,"CHEESE,REHEATED",338,Lutein + zeaxanthin,100,09/1975
0101,01,"EGGS,BAKED",301,"Calcium, Ca",100,09/1975
0101,01,"EGGS,BAKED",303,"Iron, Fe",100,09/1975
0101,01,"EGGS,BAKED",304,"Magnesium, Mg",100,09/1975
0101,01,"EGGS,BAKED",305,"Phosphorus, P",100,09/1975
0101,01,"EGGS,BAKED",306,"Potassium, K",100,09/1975
0101,01,"EGGS,BAKED",307,"Sodium, Na",100,09/1975
0101,01,"EGGS,BAKED",309,"Zinc, Zn",100,09/1975
0101,01,"EGGS,BAKED",312,"Copper, Cu",100,09/1975
0101,01,"EGGS,BAKED",401,"Vitamin C, total ascorbic acid",80,09/1975
0101,01,"EGGS,BAKED",404,Thiamin,80,09/1975
0101,01,"EGGS,BAKED",405,Riboflavin,95,09/1975
0101,01,"EGGS,BAKED",406,Niacin,90,09/1975
0101,01,"EGGS,BAKED",415,Vitamin B-6,95,09/1975
0101,01,"EGGS,BAKED",417,"Folate, total",75,09/1975
0101,01,"EGGS,BAKED",431,Folic acid,75,09/1975
0101,01,"EGGS,BAKED",432,"Folate, food",75,09/1975
0101,01,"EGGS,BAKED",421,"Choline, total",80,09/1975
0101,01,"EGGS,BAKED",418,Vitamin B-12,80,09/1975
0101,01,"EGGS,BAKED",318,"Vitamin A, IU",100,09/1975
0101,01,"EGGS,BAKED",392,"Vitamin A, RE",100,09/1975
0101,01,"EGGS,BAKED",221,"Alcohol, ethyl",100,09/1975
0101,01,"EGGS,BAKED",321,"Carotene, beta",100,09/1975
0101,01,"EGGS,BAKED",322,"Carotene, alpha",100,09/1975
0101,01,"EGGS,BAKED",334,"Cryptoxanthin, beta",100,09/1975
0101,01,"EGGS,BAKED",337,Lycopene,100,09/1975
0101,01,"EGGS,BAKED",338,Lutein + zeaxanthin,100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",301,"Calcium, Ca",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",303,"Iron, Fe",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",304,"Magnesium, Mg",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",305,"Phosphorus, P",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",306,"Potassium, K",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",307,"Sodium, Na",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",309,"Zinc, Zn",100,09/1975
0103,01,"EGGS,FRIED,SCRAMBLED",312,"Copper, Cu",100,09/1975
